"","year","make","model","vclass","displ","tran","cyl","drive","fueltype","tcharger","scharger","guzzler","cty","hwy","cmb","pv","lv","country"
"697",2009,"Audi","A8 L","Large Cars",6,"Automatic (S6)","12","4-Wheel or All-Wheel Drive","Premium",FALSE,FALSE,TRUE,13,19,15,107,15," Germany"
"698",2009,"Chrysler","300/SRT-8","Large Cars",6.1,"Automatic 5-spd","8","Rear-Wheel Drive","Regular",FALSE,FALSE,TRUE,13,19,15,107,17," Italy/ United States"
"699",2009,"Dodge","Charger","Large Cars",6.1,"Automatic 5-spd","8","Rear-Wheel Drive","Regular",FALSE,FALSE,TRUE,13,19,15,104,16," Italy/ United States"
"700",2009,"Mercedes-Benz","S550","Large Cars",5.5,"Automatic 7-spd","8","Rear-Wheel Drive","Premium",FALSE,FALSE,TRUE,14,22,17,109,16," Germany"
"701",2009,"Mercedes-Benz","S550 4matic","Large Cars",5.5,"Automatic 7-spd","8","4-Wheel or All-Wheel Drive","Premium",FALSE,FALSE,TRUE,14,21,17,109,16," Germany"
"702",2009,"Mercedes-Benz","E63 AMG (wagon)","Midsize Station Wagons",6.2,"Automatic (S7)","8","Rear-Wheel Drive","Premium",FALSE,FALSE,TRUE,13,18,15,96,41," Germany"
"703",2009,"Mercedes-Benz","SLR","Two Seaters",5.4,"Automatic (S5)","8","Rear-Wheel Drive","Premium",FALSE,TRUE,TRUE,12,16,13,48,10," Germany"
"704",2009,"Infiniti","M45x","Large Cars",4.5,"Automatic (S5)","8","4-Wheel or All-Wheel Drive","Premium",FALSE,FALSE,TRUE,14,20,16,105,15," Japan"
"705",2009,"Maybach","57","Large Cars",5.5,"Automatic 5-spd","12","Rear-Wheel Drive","Premium",TRUE,FALSE,TRUE,10,16,12,112,15," Germany"
"706",2009,"Maybach","57S","Large Cars",6,"Automatic 5-spd","12","Rear-Wheel Drive","Premium",TRUE,FALSE,TRUE,10,16,12,112,15," Germany"
"707",2009,"Maybach","62","Large Cars",5.5,"Automatic 5-spd","12","Rear-Wheel Drive","Premium",TRUE,FALSE,TRUE,10,16,12,114,15," Germany"
"708",2009,"Maybach","62S","Large Cars",6,"Automatic 5-spd","12","Rear-Wheel Drive","Premium",TRUE,FALSE,TRUE,10,16,12,114,15," Germany"
"709",2009,"Dodge","Viper Convertible","Two Seaters",8.4,"Manual 6-spd","10","Rear-Wheel Drive","Premium",FALSE,FALSE,TRUE,13,22,16,NA,NA," Italy/ United States"
"710",2009,"Dodge","Viper Coupe","Two Seaters",8.4,"Manual 6-spd","10","Rear-Wheel Drive","Premium",FALSE,FALSE,TRUE,13,22,16,NA,NA," Italy/ United States"
"711",2010,"Audi","S5","Subcompact Cars",4.2,"Manual 6-spd","8","All-Wheel Drive","Premium",FALSE,FALSE,TRUE,14,22,17,84,12," Germany"
"712",2010,"BMW","650ci Convertible","Subcompact Cars",4.8,"Manual 6-spd","8","Rear-Wheel Drive","Premium",FALSE,FALSE,TRUE,14,21,16,82,11," Germany"
"713",2010,"BMW","M6","Subcompact Cars",5,"Manual 6-spd","10","Rear-Wheel Drive","Premium",FALSE,FALSE,TRUE,11,17,13,82,13," Germany"
